country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Malawi,MWI,Y,2025-09-16,,Paper,Y,N,N,N,Smartmatic,High,BiometricUpdate 2024/MEC,"MEC; 2025.9.16 총선; Smartmatic 6,500개 EMD(생체키트) 새 시스템; 2024 파일럿 완료"
Mali,MLI,N,2022-03-27,,,,,,,,Low,Freedom House 2025/Africanews,"2020·2021 쿠데타; 2025.7 Goïta 5년 임기 부여(선거 없이); 정당 해산; 선거 없음"
Mauritania,MRT,Limited,2024-06-29,,Paper,Y,N,N,N,,Med,IFES 2024/Wikipedia,"CENI; 2024.6.29 대선(Ghazouani 재선 56%); RAVEL 생체국가ID 연계 유권자 등록; 제한적 경쟁"
Mauritius,MUS,Y,2024-11-10,,Paper,N,N,N,N,,High,Wikipedia/OEC,"OEC; 2024.11.10 총선(Alliance du Changement 압승 79% 투표율); 생체등록 미확인; 성숙한 민주주의"
Morocco,MAR,Limited,2021-09-08,2026-09-23,Paper,N,N,N,N,,Med,Wikipedia/MoroccoWorldNews,"CSAI; 2021.9.8 총선(RNI 승리); 2026.9.23 총선 예정; 생체 통합 논의 중(2026 선거법 개정); 국왕 통치하 제한적 민주주의"
Mozambique,MOZ,Limited,2024-10-09,,Paper,Y,N,Y,N,Laxton,High,EU EOM 2024/BiometricUpdate,"CNE+STAE; 2024.10.9 총선+대선(Chapo 71% 논란); Laxton Athena ABIS+Starlink 생체등록; SMS/온라인 결과 집계 플랫폼"
Namibia,NAM,Y,2024-11-27,,Paper,Y,Y,N,N,,High,Wikipedia/ECN 2024,"ECN; 2024.11.27 대선(Nandi-Ndaitwah 57% 첫 여성 대통령); 2020 대법원 판결로 EVM 폐기→종이+스캐너; 생체 유권자 확인 태블릿 일부 장애"
Niger,NER,N,2020-12-27,,,,,,,,Low,France24/IDEA,"2023.7.26 쿠데타(Tiani); 2025.3 Tiani 5년 전환 대통령 취임; 2030년까지 전환; 선거 없음"
Nigeria,NGA,Y,2023-02-25,2027-02,,Paper,Y,Y,Y,N,"INEC(BVAS)",High,INEC/IDEA 2023,"INEC; 2023.2.25 대선(Tinubu 당선); BVAS(지문+안면인식) 생체 투표소 인증; IReV 결과 즉시 업로드; 53만 투표소 결과지 스캔"
Rwanda,RWA,Limited,2024-07-15,,Paper,Y,Y,N,N,,High,IFES EG/Wikipedia 2024,"NEC; 2024.7.15 대선+총선(Kagame 4선 99%+ 논란); 생체 유권자 확인 및 실시간 모니터링; Freedom House 비자유 판정"
São Tomé and Príncipe,STP,Y,2024-11-25,2026-07,,Paper,N,N,N,N,,Med,Wikipedia/Stears,"CNEN; 2024.11.25 대선(Trovoada 재선); 2026.7 대선 예정; 소규모 도서국; 생체등록 미확인"
Senegal,SEN,Y,2024-03-24,,Paper,Y,N,N,N,"Iris Corp",High,BiometricUpdate/IFES 2024,"CENA; 2024.3.24 대선(Faye 최연소 당선); Iris Corp 생체 국가ID+유권자카드; ECOWAS 생체ID 연계 논의 중"
Sierra Leone,SLE,Y,2023-06-24,,Paper,Y,N,N,N,Laxton,High,ECSL/EU EOM 2023,"ECSL; 2023.6.24 총선+대선(Bio 재선); Laxton 생체등록 337만 명; 투표소 인증 별도 미확인"
Somalia,SOM,Limited,2021-05-15,2026-09,,Paper,Y,N,N,N,NADRA(Pakistan),Low,NIEC/Hiiraan 2024,"NIEC; 2021년 간접선거; 2026 OPOV 선거 목표(생체ID 1,500만 명 발급 목표); NIRA/NADRA 시스템; Puntland·Jubaland 갈등"
South Africa,ZAF,Y,2024-05-29,,Paper,N,N,N,N,,High,IEC SA/Bloomberg 2024,"IEC; 2024.5.29 총선(ANC 40% 연립 구성); 종이 투표지 3매+수작업+스캔 감사; 생체등록 미도입; 전자투표 연구 중"
South Sudan,SSD,N,2010-04-11,2026-12-22,,,,,,,Low,ICTJ/Radio Tamazuj 2024,"NEC; 2010년 마지막 전국선거; 5차례 연기; 2026.12.22 예정이나 등록 미시작·자금 부족; 실현 불투명"
Sudan,SDN,N,2015-04-13,,,,,,,,Low,Security Council Report 2025,"2021 쿠데타→2023 SAF-RSF 내전; 선거 완전 불가; 민간 정부 로드맵 없음"
Tanzania,TZA,Limited,2025-10-29,,Paper,Y,N,N,N,Laxton,High,BiometricUpdate/Wikipedia 2025,"NEC; 2025.10.29 총선+대선(Samia Hassan 재선); Laxton 6,000개 BVR 키트(96% 등록); SADC·EU·AU 모두 기준 미충족 비판; 인터넷 차단"
Togo,TGO,Limited,2024-04-29,,Paper,Y,N,N,N,Zetes,Med,IFES EG/Togo First 2024,"CENI; 2024.4.29 총선(UNIR 108/113석 96% 지배); Zetes 생체등록 시스템(2007~); 대통령제→내각제 전환; 2025.2 첫 상원선거"
Tunisia,TUN,Limited,2024-10-06,,Paper,N,N,N,N,,Med,IFES 2024/Wikipedia,"ISIE; 2024.10.6 대선(Saied 90.7% 재선 투표율 28.8%); 자동등록 도입(2022~); 생체등록 미확인; 2021 이후 권위주의 강화"
Uganda,UGA,Limited,2026-01-15,,Paper,Y,Y,N,N,"EC Uganda/Smartmatic",High,EC Uganda/Monitor 2026,"EC; 2026.1.15 총선+대선(Museveni 7선); BVVK 109,142개 배치(Smartmatic); 당일 기기 대량 장애→수동 명부 전환; 생체 인증 부분 실패"
Zambia,ZMB,Y,2021-08-12,2026-08-13,Paper,Y,N,N,N,Smartmatic,High,ECZ/Zambia Observer 2026,"ECZ; 2021.8.12 총선(Hichilema 압승); Smartmatic 생체등록; 2026.8.13 총선 예정; 전자투표 도입 없음 공식 발표; ABIS 중복제거"
Zimbabwe,ZWE,Limited,2023-08-23,,Paper,Y,N,N,N,,High,ZEC/BiometricUpdate 2023,"ZEC; 2023.8.23 총선+대선(Mnangagwa 재선 52.6%); 생체유권자 명부; 결과 전송 전자화 미확인; 야권·시민사회 부정 주장"
