country_ko,iso3,voting_method,portal_name,url,http_status,site_type,data_location,crawl_method,api_endpoint,extract_fields,sql_feasibility,priority,already_implemented,notes
몽골,MNG,OMR,GEC Mongolia,https://m-election.mn/en,200,정적HTML,선거정보만,—,없음,—,N/A,Skip,0,조달 공고 없음. 선거 결과/일정 정보 사이트
필리핀,PHL,OMR,PhilGEPS,https://notices.philgeps.gov.ph/,5xx(일시적),ASP.NET WebForms,HTML 테이블 (복구 후),Playwright,없음(직접 파싱),"공고번호,제목,발주기관,마감일,금액",Med,P2,0,서버 오류(일시적). 복구 후 Playwright 자동화. COMELEC 기관 필터 필요. Miru 계약 모니터링
필리핀,PHL,OMR,COMELEC Procurement,https://www.comelec.gov.ph/?r=Procurement,200,JS-SPA (?r= 라우팅),JS 렌더 후 목록,Playwright,백엔드 REST API 존재 가능(XHR 탐색 필요),"제목,게시일,마감일,PDF링크",Med,P2,0,?r=Procurement 라우팅. XHR 인터셉트로 REST API 발굴 가능하면 API 직접 호출로 전환
대한민국,KOR,OMR,나라장터 (G2B),https://www.g2b.go.kr/,302→SSO,JS-SPA + OIDC 인증,SSO 강제 리다이렉트,공공데이터포털 API,https://apis.data.go.kr/1230000/BidPublicInfoService04/getBidPblancListInfoServcPPSSrch01,"공고번호,제목,발주기관,마감일,금액",Med,P2,0,직접 접근 불가(SSO). 공공데이터포털 API(API키 필요) 대체. 이미 config에 eva.g2b.go.kr 등록
대한민국,KOR,OMR,EVA G2B,https://eva.g2b.go.kr/,200,JS-SPA,전자계약 관리 (입찰공고 아님),—,없음,—,N/A,Skip,0,전자계약 관리 시스템. 입찰공고 없음. G2B 나라장터가 입찰공고
대한민국,KOR,OMR,중앙선거관리위원회,https://www.nec.go.kr/site/eng/main.do,200,정적HTML+JS,조달공고 없음,—,없음,—,N/A,Skip,0,선거행정 정보 사이트. 조달은 나라장터/G2B 통해 발주
불가리아,BGR,OMR,eOP Bulgaria,https://app.eop.bg/today,403,접근차단,—,TED EU API 대체,TED API (이미 구현),—,Low,P3,0,403. TED(유럽조달저널)에 불가리아 공고 포함. 기존 TED 파서 활용
불가리아,BGR,OMR,CIK Bulgaria,https://www.cik.bg/bg/zop,SSL오류,SSL 인증서 문제,HTML 목록(SSL 우회 후),requests (verify=False),없음,"제목,게시일,마감일,PDF링크",Med,P2,0,fetcher.py의 SSL retry 패턴(verify=False) 그대로 적용. /bg/zop=공공조달 섹션
조지아,GEO,OMR,SPA Procurement Georgia,https://tenders.procurement.gov.ge/public/#/en/projects?type=tender,SSL만료,JS-SPA + SSL 만료,—,접근불가(SSL),대안: https://opendata.spa.ge (오픈데이터),"공고번호,제목,발주기관,마감일,금액",Low,P3,0,SSL 인증서 만료. opendata.spa.ge 오픈데이터 API 별도 탐색 필요
조지아,GEO,OMR,CEC Georgia (cesko.ge),https://cesko.ge/,403,접근차단,—,—,없음,—,N/A,Skip,0,403. 선거위원회 정보 사이트. 조달은 SPA(국가조달청) 통해 발주
바레인,BHR,OMR,Tender Board Bahrain,https://etendering.tenderboard.gov.bh,200,정적HTML+JS 탭,"HTML 테이블 직접 노출 (Published 62건, Opened 3240건+)",requests(정적),없음(직접 파싱),"공고번호([N]/2026/BTB),발주기관,잔여시간,상태(Published/Opened/Cancelled)",High,P1,0,"정적 HTML 테이블. 명시적 REST API 없음. 공고 3,240건+ 누적. 아랍어/영어 병행"
이라크,IRQ,Mixed,IHEC Iraq,https://ihec.iq/en/,200,정적HTML (CMS),PDF 저장소 (실시간 공고 없음),requests(정적),없음,"제목,게시일,PDF링크",Low,P3,0,IHEC 공식 사이트. 별도 조달포털 없음. 공고는 이메일로 접수. 뉴스/보도자료만
이라크,IRQ,Mixed,MoP Iraq (계획부),https://mop.gov.iq/en/general-government-contracts-department,200,정적HTML,규정 문서만 (입찰공고 아님),—,없음,—,N/A,Skip,0,계획부 계약규정 페이지. 입찰공고 없음. IHEC 단일 e-GP 없음
이란,IRN,Mixed,SETAD Iran,https://setadiran.ir/setad/cms,ECONNREFUSED,접근불가,—,불가,없음,—,Low,Skip,0,연결 거부. 외부 IP 전면 차단. 국제제재 + 페르시아어 전용. 크롤링 불가
이란,IRN,Mixed,MoI Iran (내무부),https://keshvar.moi.ir/,403,접근차단,—,불가,없음,—,Low,Skip,0,403 Forbidden. 외부 IP 차단. 이란 모니터링 불가
키르기스스탄,KGZ,Mixed,zakupki.gov.kg,https://zakupki.gov.kg,200,JSF 정적HTML,HTML 테이블 (전 필드 노출),requests(정적) + JSF ViewState,OCDS 대시보드: https://ocds.zakupki.gov.kg,"공고번호,제목,발주기관,마감일,금액,상태",High,P1,0,Miru Systems CEC 명의 공고. 전기관 의무게시. OCDS 대시보드도 존재
키르기스스탄,KGZ,Mixed,CEC Kyrgyzstan (shailoo.gov.kg),https://www.shailoo.gov.kg,200,정적HTML,조달공고 없음,—,없음,—,N/A,Skip,0,CEC 정보 사이트. 조달은 zakupki.gov.kg 경유. 직접 입찰 없음
카자흐스탄,KAZ,Mixed,goszakup.gov.kz,https://www.goszakup.gov.kz/,200,REST API (v2/v3),JSON 응답,API 직접 호출,https://ows.goszakup.gov.kz/v3/trd-buy?filter[name]=election&limit=50,"공고번호,제목,발주기관,마감일,금액,상태,카테고리",High,P1,0,REST API v2/v3 공식 존재. 656만건+ DB. filter[name]=election 파라미터 직접 쿼리. 러시아어/카자흐어
카자흐스탄,KAZ,Mixed,CEC Kazakhstan,https://election.gov.kz/eng/,200,정적HTML,선거정보만,—,없음,—,N/A,Skip,0,CEC 정보 사이트. 조달은 goszakup.gov.kz 경유
우즈베키스탄,UZB,Mixed,xarid.uzex.uz,https://xarid.uzex.uz/,200,JS-SPA (React 추정),JS 렌더 후 데이터,Playwright,XHR 탐색 필요,"공고번호,제목,발주기관,마감일,금액",Med,P2,0,EVM 파일럿 후속 조달 모니터링 필요. JS-SPA. XHR 인터셉트로 API 발굴 권장
우즈베키스탄,UZB,Mixed,CEC Uzbekistan (saylov.uz),https://saylov.uz/en,200,정적HTML,선거정보만,—,없음,—,N/A,Skip,0,CEC 정보 사이트. 조달은 xarid.uzex.uz 경유
케냐,KEN,Mixed,Tenders.go.ke (PPIP),https://tenders.go.ke/tenders,200,JS-SPA,JS 렌더 후 테이블,Playwright,XHR 탐색 필요 (REST API 가능성),"공고번호,제목,발주기관,마감일,금액,범주",Med,P2,0,JS-SPA. 정적 크롤 무효. Smartmatic KIEMS BVD 계약 모니터링 필요
케냐,KEN,Mixed,IEBC Kenya,https://www.iebc.or.ke/,SSL오류,SSL 인증서 오류,HTML (SSL 우회 후),requests (verify=False),없음,"제목,게시일,마감일,PDF링크",Med,P2,0,fetcher.py SSL retry 패턴 적용. IEBC는 자체 조달공고 게시
아르헨티나,ARG,Mixed,COMPR.AR,https://comprar.gob.ar,200,JS-SPA (GridView),JS 렌더 후 GridView 테이블,Playwright,대안: https://datosabiertos.compraspublicas.gob.ar/PLIEG/,"공고번호,제목,발주기관,마감일,금액,절차유형",Med,P2,0,오픈데이터 API(datosabiertos) 별도 탐색 권장. DINE 발주 공고 포함
아르헨티나,ARG,Mixed,Cámara Electoral,https://www.electoral.gob.ar,ECONNREFUSED,접근불가,—,불가,없음,—,Low,Skip,0,연결 거부. 사법부 독립 도메인. 직접 크롤링 불가
엘살바도르,SLV,Mixed,COMPRASAL,https://www.comprasal.gob.sv/,200,JSF 정적HTML,HTML 테이블,Playwright (JSF ViewState),없음,"공고번호,제목,발주기관,마감일,금액,유형",Med,P2,0,JSF 기반. ViewState 처리 + Playwright. TSE 기관명으로 필터
엘살바도르,SLV,Mixed,TSE El Salvador,https://tse.gob.sv/,403,접근차단,—,—,없음,—,N/A,Skip,0,403. TSE 조달은 COMPRASAL 통해 발주
온두라스,HND,Mixed,Honducompras,https://honducompras.gob.hn/,403,접근차단,—,Playwright + 헤더 조작,없음,"공고번호,제목,발주기관,마감일",Low,P3,0,403. User-Agent + Referer 헤더 조작 후 재시도. Smartmatic VIU 2만대 계약 모니터링 필요
자메이카,JAM,Mixed,GOJEP,https://www.gojep.gov.jm/,200,정적HTML (JSF),HTML 테이블,requests(정적),없음,"공고번호,제목,발주기관,게시일,마감일,유형",High,P1,0,정적 HTML. 로그인 불필요. EOJ 기관코드 id=1936 필터 가능
자메이카,JAM,Mixed,GOJEP EOJ 기관페이지,https://www.gojep.gov.jm/epps/prepareViewCAOrganisation.do?id=1936,200,정적HTML (JSF),HTML 테이블 (EOJ 한정),requests(정적),없음,"공고번호,제목,게시일,마감일,유형",High,P1,0,Electoral Office of Jamaica 기관 직접 페이지. id=1936. 가장 직접적인 EOJ 조달 모니터링
자메이카,JAM,Mixed,EOJ Official,https://www.eoj.com.jm/,소켓실패,접근불가,—,—,없음,—,N/A,Skip,0,소켓 연결 실패. GOJEP이 실제 조달처
파나마,PAN,Mixed,PanamaCompra,https://www.panamacompra.gob.pa/Inicio/,200,AngularJS SPA,JS 렌더 후 테이블,Playwright,XHR 탐색 후 REST API 직접 호출 가능성,"공고번호,제목,발주기관,마감일,금액,방법",Med,P2,0,AngularJS SPA. XHR 인터셉트로 REST API 발굴 권장. TE Panama 기관 필터
미국,USA,Mixed,SAM.gov,https://sam.gov/opportunities,200,REST API (공개),JSON 응답 (이미 구현),API 직접 호출 (이미 구현),https://api.sam.gov/opportunities/v2/search?title=election+equipment&limit=25&offset=0&postedFrom=&postedTo=,"공고번호,제목,발주기관,마감일,금액,NAICS코드",High,P1,1,이미 parsers.py에 구현 완료. SAMGOV_API_KEY 환경변수
미국,USA,Mixed,EAC,https://www.eac.gov/,200,정적HTML,정보성 사이트(조달없음),—,없음,—,N/A,Skip,0,EAC는 가이드라인/인증 기관. 조달 없음. SAM.gov가 실제 조달처
보스니아,BIH,Mixed,eJN Bosnia,https://www.ejn.gov.ba/Announcement/Search,200,정적HTML + POST API,POST JSON API,API 직접 호출 (POST),"POST https://www.ejn.gov.ba/api/Announcement/Search {page:1,pageSize:20,sortBy:1}","공고번호,제목,발주기관,마감일,금액,유형,상태",Med,P2,0,GET 405 → POST 전용. POST payload로 JSON 응답. Smartmatic €38.1M 계약 모니터링
보스니아,BIH,Mixed,CIK BiH (izbori.ba),https://www.izbori.ba/Default.aspx?Lang=8,200,정적HTML (ASP.NET),선거결과/정보만,—,없음,—,N/A,Skip,0,선거결과 정보 사이트. 조달은 eJN 통해 발주
에스토니아,EST,Mixed,Riigihangete Register,https://riigihanked.riik.ee,401,Open Data API 존재 가능,JSON (API 키 후),API 직접 호출,대안: https://riigihanked.riik.ee/rhr/api/public/v3/procurements?searchText=valimine,"공고번호,제목,발주기관,마감일,금액,상태",Med,P2,0,401이지만 공개 API /rhr/api/public/v3/ 존재 가능성. valimine=선거(에스토니아어)로 검색
에스토니아,EST,Mixed,State Electoral Office (valimised.ee),https://www.valimised.ee/en,200,정적HTML,선거정보만,—,없음,—,N/A,Skip,0,선거사무소 정보 사이트. 조달은 Riigihangete 통해 발주
북마케도니아,MKD,Mixed,e-nabavki.gov.mk,https://www.e-nabavki.gov.mk/,403,접근차단,—,Playwright + 헤더,없음,"공고번호,제목,발주기관,마감일,금액",Low,P3,0,403. 북마케도니아 전자조달 포털. Playwright 재시도 권장
북마케도니아,MKD,Mixed,SEC Macedonia (sec.mk),https://www.sec.mk/,200,정적HTML,조달공고 있음 (/javni-nabavki-2/),requests(정적),/javni-nabavki-2/ 섹션,"제목,게시일,마감일,PDF링크",Med,P2,0,선거위가 /javni-nabavki-2/ 섹션에 직접 조달공고 게시. 소규모
스위스,CHE,Mixed,SIMAP Switzerland,https://www.simap.ch/en,200,정적HTML+검색폼,검색폼 결과 HTML 테이블,Playwright (검색폼),없음(폼 기반),"공고번호,제목,발주기관,마감일,금액,칸톤",Med,P2,0,연방+주 공동 플랫폼. 검색어=Wahlsystem/Vote/Élection. 다국어(DE/FR/IT/EN)
스위스,CHE,Mixed,Bundeskanzlei e-Voting,https://www.bk.admin.ch/bk/en/home/politische-rechte/e-voting.html,200,정적HTML,정책/정보만 (조달없음),—,없음,—,N/A,Skip,0,정책 페이지. 실제 조달은 SIMAP 통해 Swiss Post 등이 발주
